iter	Logloss
0	0.6253471138
1	0.5506303935
2	0.4921989924
3	0.4440296914
4	0.3909941543
5	0.3487848482
6	0.3157469901
7	0.2807727988
8	0.2487069036
9	0.2238483737
10	0.2035911286
11	0.1842747942
12	0.1669423975
13	0.1531759861
14	0.1398288684
15	0.1300372968
16	0.1208245073
17	0.1105902706
18	0.1030980613
19	0.09514106664
20	0.08790638533
21	0.0824717521
22	0.07670367378
23	0.07194789787
24	0.06855333212
25	0.06362211507
26	0.06018635735
27	0.05710956857
28	0.05381513179
29	0.05141530192
30	0.04828755473
31	0.04589916699
32	0.04373170438
33	0.04139236437
34	0.03986283736
35	0.03809831437
36	0.03627333956
37	0.03480676352
38	0.03321157458
39	0.03188812303
40	0.03064904428
41	0.02936821577
42	0.0280779753
43	0.02693755116
44	0.02581279885
45	0.02477097211
46	0.02389586349
47	0.02299208267
48	0.02197479265
49	0.02099312306
50	0.020060244
51	0.01934327032
52	0.01864244198
53	0.01790341591
54	0.01746657963
55	0.01689710425
56	0.01629193883
57	0.01568471572
58	0.01517555179
59	0.01464816502
60	0.01423958796
61	0.01379691811
62	0.01335337068
63	0.01290592119
64	0.01246650275
65	0.01202753995
66	0.01166993796
67	0.01130092005
68	0.01108407864
69	0.01073836696
70	0.01049302899
71	0.0101915844
72	0.009901820353
73	0.009640504856
74	0.009341377092
75	0.009059854463
76	0.008797916804
77	0.008523357144
78	0.008332288306
79	0.008068073489
80	0.007860246907
81	0.007602553346
82	0.00742229605
83	0.007267231984
84	0.007087972539
85	0.006891757734
86	0.006733146036
87	0.006552721429
88	0.006398661307
89	0.006240158589
90	0.006119033457
91	0.0059815985
92	0.005835190237
93	0.005704718155
94	0.005568785175
95	0.005441577497
96	0.005326301734
97	0.005243833107
98	0.005140614112
99	0.00503110278
100	0.004915733325
101	0.004811196949
102	0.004719628742
103	0.004629308954
104	0.00453436493
105	0.004437439834
106	0.004362619624
107	0.004274239541
108	0.004214533107
109	0.004140054029
110	0.004081056369
111	0.004019183405
112	0.003950170741
113	0.003881578018
114	0.003826266793
115	0.003786177952
116	0.003717877968
117	0.003660836805
118	0.003583949734
119	0.003522836705
120	0.003457709287
121	0.003408267394
122	0.003375077944
123	0.003329090445
124	0.003301781574
125	0.003253427776
126	0.003222628342
127	0.00316978754
128	0.003125066064
129	0.003099926275
130	0.003056529968
131	0.003017558992
132	0.002992801155
133	0.00297219299
134	0.002939655494
135	0.002895473283
136	0.002841307869
137	0.00280902903
138	0.002758232271
139	0.002733083767
140	0.002684802646
141	0.002659818956
142	0.002636507418
143	0.002600453997
144	0.002553666145
145	0.002512729216
146	0.002467567216
147	0.002435663337
148	0.002414529945
149	0.002384326557
150	0.002363447776
151	0.002327696684
152	0.002307326811
153	0.002285710446
154	0.002246697751
155	0.002225161205
156	0.00221333664
157	0.002197728437
158	0.00216992783
159	0.002158479232
160	0.002142190273
161	0.002114613338
162	0.002092386042
163	0.002084297193
164	0.002071877017
165	0.002057822671
166	0.002049833586
167	0.002025150048
168	0.002009284133
169	0.001988062668
170	0.001968625002
171	0.001952747799
172	0.00193817139
173	0.001927622494
174	0.001913200754
175	0.00189846736
176	0.00188968459
177	0.001876977168
178	0.001860514505
179	0.00183829038
180	0.001814346483
181	0.00180670782
182	0.00179206625
183	0.00176708474
184	0.001741108019
185	0.001730764513
186	0.001716952391
187	0.001701909946
188	0.00169010411
189	0.00167595538
190	0.001671424815
191	0.001656055497
192	0.001633319453
193	0.001610862855
194	0.001596558183
195	0.001587075488
196	0.00157596738
197	0.001563510383
198	0.00155083664
199	0.001541820578
200	0.001531721578
201	0.00151984184
202	0.001502760082
203	0.001492851047
204	0.001476182936
205	0.001460916796
206	0.001448059229
207	0.001437403866
208	0.001425542416
209	0.00140945738
210	0.00139472096
211	0.001385079812
212	0.001378471731
213	0.001367406475
214	0.001360026428
215	0.001355906302
216	0.001348149343
217	0.001333678062
218	0.001323687188
219	0.001314816647
220	0.001296840144
221	0.001292700307
222	0.001288094929
223	0.001278978099
224	0.001264962336
225	0.001258417051
226	0.001253708245
227	0.001246272324
228	0.001235895049
229	0.001220133262
230	0.001215012434
231	0.001208692498
232	0.001208692498
233	0.001201365165
234	0.001194954278
235	0.001188923721
236	0.001182617449
237	0.001174713883
238	0.001168946892
239	0.001161784734
240	0.001147598997
241	0.001143257759
242	0.001135030853
243	0.001129025046
244	0.001115807723
245	0.001104974144
246	0.001098432265
247	0.001087313256
248	0.001082454583
249	0.001082454583
250	0.001082454583
251	0.001076689787
252	0.001069153965
253	0.001057862597
254	0.00105061458
255	0.001039588702
256	0.001039588702
257	0.001034226103
258	0.00103420269
259	0.00102908463
260	0.001021756369
261	0.001011992424
262	0.001012009078
263	0.001005722593
264	0.0009993379845
265	0.0009899296013
266	0.000985853741
267	0.0009771090937
268	0.0009701598468
269	0.0009626503737
270	0.0009556254418
271	0.0009500861935
272	0.0009500632345
273	0.0009500632345
274	0.0009391814067
275	0.0009331548434
276	0.0009331548434
277	0.000933148498
278	0.0009279558002
279	0.0009214194457
280	0.0009153896361
281	0.0009075356283
282	0.0009005981468
283	0.0008953805726
284	0.0008953805726
285	0.0008936823567
286	0.0008936823567
287	0.0008870098295
288	0.0008810293272
289	0.0008787774741
290	0.0008787774741
291	0.000872634862
292	0.0008639530359
293	0.0008568781341
294	0.0008568781341
295	0.0008568781341
296	0.0008494090693
297	0.0008434838949
298	0.0008434744519
299	0.0008434744519
300	0.0008434871038
301	0.0008434787525
302	0.0008434787525
