iter	Passed	Remaining
401	26597	19716
402	26664	19650
403	26728	19583
404	26807	19526
405	26864	19453
406	26925	19383
407	27005	19327
408	27065	19257
409	27130	19189
410	27194	19122
411	27255	19052
412	27322	18986
413	27382	18916
414	27447	18849
415	27510	18781
416	27576	18714
417	27634	18643
418	27701	18578
419	27775	18517
420	27833	18445
421	27902	18380
422	27966	18313
423	28033	18248
424	28097	18180
425	28171	18119
426	28231	18049
427	28299	17984
428	28374	17923
429	28428	17850
430	28493	17783
431	28570	17724
432	28626	17651
433	28691	17585
434	28760	17520
435	28828	17455
436	28890	17387
437	28962	17324
438	29023	17255
439	29088	17188
440	29154	17122
441	29226	17059
442	29295	16995
443	29368	16933
444	29433	16866
445	29479	16788
446	29540	16719
447	29613	16657
448	29694	16599
449	29760	16533
450	29807	16456
451	29869	16388
452	29947	16328
453	30019	16266
454	30097	16206
455	30157	16137
456	30217	16067
457	30287	16003
458	30360	15941
459	30425	15874
460	30488	15806
461	30552	15739
462	30617	15672
463	30688	15608
464	30749	15539
465	30816	15474
466	30879	15406
467	30947	15341
468	31008	15273
469	31073	15206
470	31136	15138
471	31198	15070
472	31264	15004
473	31335	14940
474	31393	14870
475	31458	14804
476	31522	14736
477	31583	14668
478	31647	14601
479	31710	14534
480	31772	14466
481	31836	14399
482	31898	14331
483	31961	14263
484	32025	14196
485	32089	14129
486	32149	14061
487	32210	13993
488	32275	13926
489	32336	13858
490	32397	13790
491	32460	13723
492	32529	13658
493	32585	13588
494	32651	13522
495	32716	13455
496	32775	13387
497	32839	13320
498	32901	13252
499	32964	13185
500	33027	13118
501	33092	13052
502	33156	12985
503	33221	12919
504	33286	12853
505	33349	12786
506	33413	12719
507	33474	12651
508	33537	12584
509	33595	12515
510	33660	12449
511	33722	12382
512	33786	12315
513	33845	12247
514	33908	12180
515	33968	12112
516	34033	12046
517	34094	11979
518	34153	11911
519	34218	11844
520	34318	11790
521	34378	11722
522	34434	11653
523	34504	11589
524	34570	11523
525	34634	11456
526	34700	11391
527	34763	11324
528	34830	11258
529	34890	11191
530	34954	11124
531	35017	11058
532	35079	10991
533	35145	10925
534	35203	10857
535	35268	10791
536	35333	10725
537	35393	10657
538	35464	10593
539	35539	10530
540	35587	10459
541	35632	10387
542	35693	10320
543	35766	10256
544	35839	10192
545	35904	10126
546	35967	10060
547	36033	9994
548	36097	9928
549	36159	9861
550	36224	9795
551	36293	9730
552	36349	9662
553	36412	9596
554	36475	9529
555	36539	9463
556	36597	9395
557	36663	9330
558	36725	9263
559	36788	9197
560	36852	9131
561	36913	9064
562	36975	8997
563	37040	8931
564	37108	8866
565	37199	8806
566	37265	8741
567	37347	8679
568	37412	8613
569	37479	8547
570	37540	8481
571	37611	8416
572	37689	8353
573	37735	8283
574	37787	8214
575	37857	8149
576	37928	8085
577	37989	8018
578	38061	7954
579	38128	7888
580	38191	7822
581	38259	7756
582	38324	7691
583	38386	7624
584	38452	7558
585	38516	7492
586	38577	7426
587	38639	7359
588	38704	7294
589	38765	7227
590	38828	7161
591	38894	7095
592	38953	7028
593	39017	6962
594	39079	6896
595	39140	6829
596	39204	6763
597	39268	6697
598	39348	6634
599	39395	6565
600	39455	6499
601	39524	6434
602	39587	6368
603	39653	6302
604	39719	6236
605	39778	6170
606	39846	6104
607	39909	6038
608	39969	5972
609	40034	5906
610	40096	5840
611	40162	5774
612	40221	5708
613	40286	5642
614	40356	5577
615	40409	5510
616	40473	5444
617	40541	5379
618	40599	5312
619	40663	5246
620	40729	5181
621	40794	5115
622	40857	5049
623	40918	4983
624	40981	4917
625	41043	4851
626	41106	4785
627	41167	4719
628	41229	4653
629	41291	4587
630	41358	4522
631	41427	4457
632	41489	4391
633	41553	4325
634	41612	4259
635	41677	4194
636	41738	4127
637	41802	4062
638	41863	3996
639	41925	3930
640	41985	3864
641	42048	3798
642	42109	3732
643	42175	3667
644	42234	3601
645	42298	3535
646	42367	3470
647	42427	3404
648	42492	3339
649	42557	3273
650	42617	3207
651	42678	3141
652	42741	3076
653	42804	3010
654	42869	2945
655	42928	2879
656	42990	2813
657	43051	2747
658	43115	2682
659	43175	2616
660	43240	2551
661	43300	2485
662	43369	2420
663	43427	2354
664	43489	2288
665	43554	2223
666	43617	2157
667	43678	2092
668	43744	2027
669	43803	1961
670	43869	1896
671	43929	1830
672	43994	1765
673	44054	1699
674	44120	1634
675	44178	1568
676	44245	1503
677	44304	1437
678	44371	1372
679	44465	1307
680	44539	1242
681	44606	1177
682	44676	1112
683	44742	1046
684	44803	981
685	44869	915
686	44936	850
687	44997	784
688	45068	719
689	45131	654
690	45195	588
691	45260	523
692	45324	457
693	45395	392
694	45450	326
695	45522	261
696	45584	196
697	45634	130
698	45700	65
699	45768	0
